Province,Centre,Census Subdivision,Singles,Semis,Row,Apartment and Other,Total
Alta,Lethbridge,Total,247,46,150,373,816
Alta,Grande Prairie,Grande Prairie (CY),127,22,3,51,203
Alta,Grande Prairie,Total,127,22,3,51,203
Alta,Medicine Hat,Cypress County (MD),31,0,0,1,32
Alta,Medicine Hat,Medicine Hat (CY),39,24,69,6,138
Alta,Medicine Hat,Redcliff (T),4,0,0,0,4
Alta,Medicine Hat,Total,74,24,69,7,174
Alta,Red Deer,Red Deer (CY),91,12,53,10,166
Alta,Red Deer,Total,91,12,53,10,166
Alta,Wood Buffalo,Wood Buffalo (SM),75,20,20,7,122
Alta,Wood Buffalo,First Nations (Wood Buffalo) (R),0,0,0,0,0
Alta,Wood Buffalo,Total,75,20,20,7,122
Alta,Bonnyville No. 87 MD,Bonnyville No. 87 (MD),22,0,0,0,22
Alta,Bonnyville No. 87 MD,Total,22,0,0,0,22
Alta,Clearwater County MD,Clearwater County (MD),121,0,0,0,121
Alta,Clearwater County MD,Total,121,0,0,0,121
Alta,Foothills County MD,Foothills County (MD),147,0,0,1,148
Alta,Foothills County MD,Total,147,0,0,1,148
Alta,Grande Prairie County No. 1 MD,Grande Prairie County No. 1 (MD),101,4,18,0,123
Alta,Grande Prairie County No. 1 MD,Total,101,4,18,0,123
Alta,Lacombe County MD,Lacombe County (MD),53,0,4,0,57
Alta,Lacombe County MD,Total,53,0,4,0,57
Alta,Lac Ste. Anne County MD,Lac Ste. Anne County (MD),88,0,0,2,90
Alta,Lac Ste. Anne County MD,Total,88,0,0,2,90
Alta,Mackenzie County SM,Mackenzie County (SM),72,4,15,8,99
Alta,Mackenzie County SM,Total,72,4,15,8,99
Alta,Mountain View County MD,Mountain View County (MD),64,0,0,0,64
Alta,Mountain View County MD,Total,64,0,0,0,64
Alta,Red Deer County MD,Red Deer County (MD),99,0,8,2,109
Alta,Red Deer County MD,Total,99,0,8,2,109
Alta,Wetaskiwin County No. 10 MD,Wetaskiwin County No. 10 (MD),41,0,0,0,41
Alta,Wetaskiwin County No. 10 MD,Total,41,0,0,0,41
Alta,Yellowhead County MD,Yellowhead County (MD),59,0,0,0,59
Alta,Yellowhead County MD,Total,59,0,0,0,59
Alta,Whitecourt T,Whitecourt T,16,2,0,0,18
Alta,Whitecourt T,Total,16,2,0,0,18
Alta,Brooks,Newell County (MD),16,0,0,0,16
Alta,Brooks,Brooks (CY),8,2,0,1,11
Alta,Brooks,Duchess (VL),0,0,0,0,0
Alta,Brooks,Rosemary (VL),0,0,0,0,0
Alta,Brooks,Bassano (T),0,0,0,0,0
Alta,Brooks,Total,24,2,0,1,27
Alta,Camrose,Camrose (CY),28,10,6,28,72
Alta,Camrose,Total,28,10,6,28,72
Alta,Canmore,Canmore (T),27,28,35,138,228
Alta,Canmore,Total,27,28,35,138,228
Alta,Cold Lake,Cold Lake (CY),56,0,0,0,56
Alta,Cold Lake,Total,56,0,0,0,56
Alta,High River,High River (T),35,2,0,8,45
Alta,High River,Total,35,2,0,8,45
Alta,Lacombe,Lacombe (CY),34,6,8,94,142
Alta,Lacombe,Total,34,6,8,94,142
Alta,Lloydminster,Lloydminster (Alta Part) (CY),36,0,57,0,93
Alta,Lloydminster,Total,36,0,57,0,93
Alta,Okotoks,Okotoks (T),107,22,67,40,236
Alta,Okotoks,Total,107,22,67,40,236
Alta,Strathmore,Strathmore (T),36,0,0,0,36
Alta,Strathmore,Total,36,0,0,0,36
Alta,Sylvan Lake,Jarvis Bay (SV),5,0,0,0,5
Alta,Sylvan Lake,Sylvan Lake (T),45,26,21,82,174
Alta,Sylvan Lake,Norglenwold (SV),3,0,0,0,3
Alta,Sylvan Lake,Total,53,26,21,82,182
Alta,Wetaskiwin,Wetaskiwin (CY),6,0,0,0,6
Alta,Wetaskiwin,Total,6,0,0,0,6
Alta,Total,Total,13864,2746,4525,14312,35447
B.C.,Abbotsford - Mission,Abbotsford (CY),260,6,38,275,579
B.C.,Abbotsford - Mission,Mission (DM),159,12,145,572,888
